word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
would,0.7619,-0.29773,0.51396,-0.13303,0.24156,0.066799,-0.54084,0.2071,-0.28225,-0.11638,0.21666,0.54908,-0.36744,-0.10543,0.81567,1.1743,0.56055,-0.3345,0.099767,-0.87465,0.12229,-0.18532,0.086783,-0.36343,0.008002,-2.2268,-0.20079,-0.10313,0.24318,-0.39819,3.7136,0.59088,-1.1013,-0.25292,0.0057067,-0.60475,0.35965,-0.059581,-0.029059,-0.3989,-0.52631,0.12436,0.13609,0.12699,-0.23032,-0.044567,-0.6545,0.43088,-0.22768,0.4026
first,-0.14168,0.41108,-0.31227,0.16633,0.26124,0.45708,-1.2001,0.014923,-0.22779,-0.16937,0.34633,-0.12419,-0.65711,0.29226,0.62407,-0.57916,-0.33947,-0.22046,-1.4832,0.28958,0.081396,-0.21696,0.0056613,-0.054199,0.098504,-1.5874,-0.22867,-0.62957,-0.39542,-0.080841,3.5949,-0.16872,-0.39024,0.026912,0.52646,-0.022844,0.63289,0.62702,-0.22171,-0.45045,-0.14998,-0.27723,-0.46658,-0.44268,-0.43691,0.38455,0.1369,-0.25424,0.017821,-0.1489
year,-0.098793,0.26983,0.35304,-0.10727,-0.015183,0.053398,-1.0824,-0.53005,0.0095416,0.070428,-0.08925,-0.62666,-0.52662,-0.56571,1.8044,0.01686,-0.44871,-0.04146,-1.1136,0.17488,0.49561,-0.38238,0.30185,-0.70675,-0.35891,-1.5164,-0.024403,-0.54107,-0.36163,0.52803,3.6553,0.71214,-0.16995,0.36368,0.3399,-0.48186,0.10936,0.61428,0.15697,-0.70716,-1.2359,-0.014258,0.095588,-0.30634,-0.49741,-0.049394,-0.16697,0.11972,-0.37511,0.098348
people,0.95281,-0.20608,0.55618,-0.46323,0.73354,0.029137,-0.19367,-0.090066,-0.22958,-0.19058,-0.34857,-1.0231,0.743,-0.5489,0.88484,-0.14051,0.0040139,0.58448,0.10767,-0.44657,-0.43205,0.9868,0.78288,0.51513,0.85788,-1.7713,-0.88259,-0.59728,0.084934,-0.48112,3.9678,0.8893,-0.27064,-0.44094,-0.26213,0.085597,0.022099,-0.58376,0.10908,0.77973,-0.95447,0.40482,0.8941,0.65251,0.39858,0.20884,-1.3281,-0.10882,-0.22822,-0.46303
government,0.38797,-1.0825,0.45025,-0.23341,0.086307,-0.25721,-0.18281,-0.10037,-0.50099,-0.58361,-0.052635,-0.14224,0.0090217,-0.38308,0.18503,0.42444,0.10611,-0.1487,1.0801,0.065757,0.64552,0.1908,-0.14561,-0.87237,-0.35568,-2.435,0.28428,-0.33436,-0.56139,0.91404,4.0129,0.072234,-1.2478,-0.36592,-0.50236,0.011731,-0.27409,-0.50842,-0.2584,-0.096172,-0.67109,0.40226,0.27912,-0.37317,-0.45049,-0.30662,-1.6426,1.1936,0.65343,-0.76293
years,0.16962,0.4344,-0.042106,-0.63324,-0.1278,0.53668,-1.0662,-0.32629,-0.50079,0.10247,-0.021968,-0.35105,-0.64153,-0.42454,1.3836,-0.13543,-0.24754,0.22156,-0.65563,0.44424,0.17017,0.35816,0.56379,-0.48044,-0.14765,-1.629,-0.31308,-0.47217,0.02659,0.47603,3.4619,0.12069,-0.045344,-0.47303,0.28569,-0.077584,-0.16447,0.7181,0.2617,-0.16841,-1.245,-0.076188,0.17493,0.24507,-0.63801,-0.21096,-0.49918,-0.50108,-0.7704,-0.32234
three,0.40545,0.43805,0.36237,0.25683,0.38254,0.68255,-0.97853,0.12741,-0.46129,-0.54809,-0.35384,-0.56697,-0.65756,0.50184,0.53248,-0.77956,-0.089944,-0.37572,-1.1097,-0.30734,-0.022657,0.11632,0.67704,-0.051499,-0.59719,-1.02,0.24289,-0.60216,-0.35183,-0.54053,3.9844,0.41521,0.040419,0.26909,1.1193,0.52924,0.37308,0.28924,-0.14714,0.23566,-0.72709,0.053276,0.45373,0.20374,-0.13384,0.015313,-0.22037,-0.15662,-0.30289,-0.77536
city,0.43945,0.43268,-0.36654,0.27781,0.062932,-0.80201,-0.93041,0.016388,-0.5503,-0.16278,-0.40351,-1.3975,0.32079,-0.88954,-0.18853,0.11516,0.045326,0.83002,-0.87595,0.77653,0.55948,0.074721,-0.84672,0.4098,-0.59774,-2.062,-0.15894,0.57979,0.2827,-1.0213,3.2488,0.50029,0.11559,-1.1707,0.19016,0.36888,-0.042018,0.028234,0.54125,0.8489,-0.66711,0.60799,0.23787,-0.65378,-0.7055,0.5165,-1.078,-0.71524,0.48402,-0.3256
country,-0.13531,0.15485,-0.07309,0.034013,-0.054457,-0.20541,-0.60086,-0.22407,0.42615,0.0418,0.1217,-0.55817,-0.08953,0.0089426,0.59164,0.34329,0.64798,0.30052,0.48494,0.16524,-0.073664,0.31182,-0.083803,0.27026,0.10724,-1.7704,-0.36235,-0.15811,0.060038,0.67873,4.0124,0.43091,-0.26325,0.0561,-0.40052,-0.088487,-0.55339,-0.17892,-0.57372,-0.19628,-1.1624,0.12145,0.55842,-0.6194,-0.20974,0.49895,-1.0743,-0.028168,-0.18904,-0.6769
four,0.33375,0.44809,0.54759,0.21497,0.32637,0.70326,-0.95872,0.057798,-0.43454,-0.55322,-0.40482,-0.65793,-0.75076,0.58097,0.51968,-0.86607,-0.10026,-0.11609,-1.2668,-0.46131,-0.10421,0.13894,0.70448,-0.0040651,-0.56479,-0.99797,0.30126,-0.53745,-0.42073,-0.49521,3.9051,0.43253,0.017059,0.31489,1.2546,0.52463,0.46232,0.29622,-0.23879,0.12913,-0.75519,-0.065684,0.52592,0.20047,-0.15982,0.18293,-0.29966,-0.1926,-0.30174,-0.80437
