word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
follow,0.0033407,0.91533,-1.2207,-0.45773,-0.59682,-0.64277,1.0497,1.7013,-1.3643,0.3601,-0.25219,-0.14811,-3.8711,-1.0949,-1.3944,0.22114,-0.76684,-2.0907,-1.0099,0.20968,-0.27403,-1.8368,-0.4521,0.8915,-1.0369
back,-0.74355,0.715,-0.1593,-0.28136,-0.736,-0.17702,1.0432,0.62863,-1.0324,0.44264,-0.11356,0.30086,-4.7917,-0.22962,-0.21154,-0.14965,-0.31582,-1.3908,-0.736,-0.46094,-0.13124,-0.96047,1.2604,0.2479,-0.44585
people,0.61531,0.40895,-0.34224,0.21094,-0.046403,0.29744,1.9485,-0.91247,-0.85772,0.57293,-0.99537,-0.15858,-5.4328,0.11578,-0.27031,0.35207,0.16624,-0.91364,0.6933,-0.65035,0.77353,-0.087782,-0.43228,-0.99982,-0.68077
really,-0.08943,0.22163,0.18244,-0.83415,-0.44891,0.47993,2.1459,-0.45866,-0.71512,-0.25822,-0.40632,0.80012,-5.3547,-0.75984,0.12148,0.24563,0.2095,-0.44553,-0.01365,-0.44779,0.86121,0.59802,0.11607,0.69295,-0.39653
think,0.32648,0.48392,0.13726,-0.3465,-0.80444,0.13492,1.8195,-0.41097,-0.55192,-0.041287,-0.43644,0.65345,-5.4586,-0.58895,0.071544,0.19618,0.38752,-0.59623,0.091468,-0.52565,0.77938,0.68852,-0.12746,0.1726,-0.60569
please,-0.32909,0.40221,-0.81,-0.37379,-0.91075,-1.4961,1.7134,0.90296,-0.93052,0.23089,-0.30272,-0.23206,-4.2977,-0.94941,-0.27274,0.1943,-0.19176,-1.6868,-0.40934,-0.53334,-0.27725,-0.86553,-0.16371,0.89115,-0.74183
right,-0.43876,0.095692,0.0030075,-0.13195,-0.087741,-0.036863,1.7566,-0.47702,-0.46528,0.46637,-0.87605,0.80857,-5.1846,-0.11673,0.76945,0.12328,0.073833,-0.88051,-0.22639,-0.17336,0.21476,0.17998,0.80019,0.30652,0.159
twitter,1.6952,0.42694,0.14433,-0.16535,1.0463,-0.029846,0.33623,1.5362,-0.58481,0.50349,-0.50595,-0.91136,-3.8011,-0.8685,-0.13552,0.97055,-0.13545,-0.29825,-1.2837,-0.63245,0.44748,-0.92231,-0.4138,0.20287,-0.33432
hate,0.66523,0.73776,0.022958,0.13177,-0.7063,0.64642,2.1068,-0.56058,-0.70352,0.83807,-1.1425,-0.092725,-4.4378,-0.76222,0.18249,0.72472,0.0060011,-0.73652,0.0023592,-0.3483,0.6523,1.0148,0.19504,-0.31584,-0.50971
thanks,-0.80095,0.82385,-0.28273,-0.10817,-0.55175,-0.72222,1.6159,0.9797,-1.001,0.26292,-0.68467,0.50623,-3.8982,-0.56209,0.43343,-0.66157,0.86205,-1.0689,-1.0178,0.05931,-0.35647,-0.43121,-1.1485,1.3683,-0.72813
followers,1.1628,1.2063,-0.98311,-0.68714,0.87228,-0.038465,0.60075,0.75044,-1.6369,0.64954,-0.015009,-0.46255,-3.182,-0.091041,-1.3646,0.42786,-0.41818,-1.7688,-1.0609,-0.089566,-0.64473,-1.4028,-0.11063,0.62345,-1.0737
everyone,-0.66344,1.1679,0.031686,-0.049315,-0.43452,-0.52471,2.1418,-0.32636,-1.7366,0.26686,-0.47925,0.27399,-4.7679,0.045498,-0.20918,0.147,-0.32177,-1.0588,0.13412,-0.33091,0.42165,-0.9311,0.0065537,-0.10001,-0.86712
tonight,-0.86482,0.65099,0.59029,-1.1413,-0.63281,-0.014645,1.6853,-0.41908,-0.59958,-0.61763,-0.59244,0.70116,-4.6682,0.64156,1.1898,-0.16486,-0.11951,-1.2156,-0.8837,0.29483,-0.71793,-0.31835,0.59246,-0.082905,1.1007
first,-0.0048302,0.52898,0.62385,-0.65502,-0.10903,-0.33937,1.7463,0.10884,0.21209,-0.36222,0.24687,0.69705,-4.8934,0.66483,0.32078,-0.20673,0.79626,-0.51975,-0.50631,-0.49261,-0.82211,0.17603,0.069424,-0.26431,-0.58399
